epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42262.8,1.10192,0.68822,0.9616,0.56359,0.37623,0.40655,0.25473,1.11515,0.72856,0.98234,0.000424187,0.000424187,0.000424187
43,43225.1,1.09994,0.69058,0.9579,0.58134,0.38609,0.41723,0.26215,1.1217,0.73084,0.98718,0.000417119,0.000417119,0.000417119
44,44187.1,1.08768,0.68739,0.95741,0.57413,0.37348,0.40234,0.25172,1.11502,0.73097,0.98332,0.00041005,0.00041005,0.00041005
45,45146.9,1.09304,0.68269,0.95772,0.53281,0.39148,0.41311,0.26269,1.11516,0.7267,0.9809,0.000402982,0.000402982,0.000402982
46,46108,1.08872,0.67671,0.95463,0.52035,0.39411,0.40612,0.25454,1.11043,0.7263,0.98213,0.000395913,0.000395913,0.000395913
47,47071.1,1.0822,0.67513,0.95371,0.61535,0.37107,0.40316,0.24649,1.11099,0.7262,0.98396,0.000388844,0.000388844,0.000388844
48,48045.1,1.07999,0.66992,0.95253,0.52915,0.38811,0.41234,0.25868,1.11065,0.71975,0.98121,0.000381776,0.000381776,0.000381776
49,49018.2,1.08451,0.67085,0.95326,0.60039,0.38227,0.4153,0.26015,1.11212,0.72034,0.98158,0.000374707,0.000374707,0.000374707
50,49983.3,1.08082,0.67209,0.95029,0.577,0.3785,0.41047,0.25411,1.11211,0.72283,0.98326,0.000367639,0.000367639,0.000367639
51,50946.1,1.07683,0.66799,0.95077,0.5761,0.37126,0.40385,0.25031,1.11072,0.71863,0.98373,0.00036057,0.00036057,0.00036057
52,51906.9,1.06748,0.65701,0.94734,0.528,0.37948,0.40777,0.2522,1.10714,0.71818,0.98216,0.000353501,0.000353501,0.000353501
53,52879.8,1.06563,0.65648,0.94703,0.54788,0.36211,0.39999,0.24897,1.10013,0.71152,0.97643,0.000346433,0.000346433,0.000346433
54,53848.8,1.05565,0.65073,0.94523,0.53033,0.38743,0.40819,0.2559,1.1028,0.71298,0.9796,0.000339364,0.000339364,0.000339364
55,54815.2,1.06891,0.65784,0.94721,0.59266,0.37183,0.4073,0.25797,1.10194,0.71029,0.97938,0.000332296,0.000332296,0.000332296
56,55778.7,1.06502,0.65558,0.94585,0.56858,0.39932,0.41228,0.26009,1.10116,0.70516,0.97747,0.000325227,0.000325227,0.000325227
57,56742.2,1.0546,0.64818,0.94349,0.6128,0.37685,0.41872,0.26522,1.09618,0.70407,0.97981,0.000318158,0.000318158,0.000318158
58,57713.1,1.05745,0.64877,0.94671,0.51599,0.37704,0.40243,0.24813,1.09808,0.70696,0.98036,0.00031109,0.00031109,0.00031109
59,58682.8,1.05923,0.64555,0.94386,0.57007,0.38614,0.41697,0.25901,1.10118,0.71049,0.98043,0.000304021,0.000304021,0.000304021
60,59647.5,1.04221,0.63449,0.93884,0.59711,0.37513,0.41566,0.25768,1.09309,0.70377,0.97649,0.000296953,0.000296953,0.000296953
61,60609.1,1.04619,0.64215,0.942,0.55585,0.41187,0.42493,0.26816,1.09865,0.70453,0.97928,0.000289884,0.000289884,0.000289884
62,61569.5,1.04611,0.63883,0.93722,0.61156,0.37452,0.41664,0.26013,1.09951,0.71112,0.97789,0.000282815,0.000282815,0.000282815
63,62532,1.04921,0.64209,0.94166,0.58571,0.39135,0.40992,0.25406,1.09161,0.7048,0.9748,0.000275747,0.000275747,0.000275747
64,63492.4,1.04175,0.63192,0.93761,0.61132,0.38901,0.42118,0.26482,1.09587,0.7052,0.97735,0.000268678,0.000268678,0.000268678
65,64451.3,1.0339,0.62961,0.93859,0.59669,0.37975,0.4076,0.25647,1.09449,0.70662,0.97612,0.00026161,0.00026161,0.00026161
66,65410.4,1.0375,0.6261,0.9345,0.58723,0.37433,0.41977,0.26854,1.09299,0.70092,0.97594,0.000254541,0.000254541,0.000254541
67,66371,1.03292,0.62708,0.93572,0.56081,0.38279,0.40837,0.25622,1.09721,0.7029,0.97657,0.000247472,0.000247472,0.000247472
68,67339.6,1.02745,0.62144,0.93179,0.57822,0.37388,0.41076,0.25961,1.09272,0.7069,0.97631,0.000240404,0.000240404,0.000240404
69,68306.3,1.01862,0.61877,0.9304,0.62049,0.36189,0.41467,0.25994,1.09317,0.70224,0.97818,0.000233335,0.000233335,0.000233335
70,69273.1,1.02313,0.61817,0.93299,0.56086,0.39504,0.41608,0.26194,1.09096,0.69919,0.97512,0.000226267,0.000226267,0.000226267
71,70237.6,1.01693,0.61514,0.93103,0.56479,0.38965,0.42266,0.26633,1.0967,0.70299,0.97811,0.000219198,0.000219198,0.000219198
72,71208.9,1.02495,0.61976,0.93209,0.56502,0.38866,0.42751,0.26867,1.09454,0.69965,0.9779,0.000212129,0.000212129,0.000212129
73,72182.4,1.01607,0.61196,0.92819,0.57495,0.40853,0.43399,0.27344,1.0904,0.69619,0.97584,0.000205061,0.000205061,0.000205061
74,73149.6,1.00891,0.60711,0.92866,0.56288,0.40325,0.42687,0.26727,1.09209,0.69748,0.97431,0.000197992,0.000197992,0.000197992
75,74113.8,1.01299,0.60892,0.92789,0.5542,0.39759,0.413,0.25734,1.09446,0.70146,0.97832,0.000190924,0.000190924,0.000190924
76,75077.6,1.00886,0.60508,0.92519,0.55671,0.41371,0.42711,0.27126,1.08895,0.69621,0.97494,0.000183855,0.000183855,0.000183855
77,76043.7,0.99835,0.59855,0.92333,0.60929,0.39462,0.4281,0.26801,1.09042,0.6975,0.97624,0.000176786,0.000176786,0.000176786
78,77008.3,0.99655,0.59604,0.9231,0.67501,0.39005,0.43597,0.27531,1.09035,0.69473,0.97916,0.000169718,0.000169718,0.000169718
79,77976.9,1.00124,0.59913,0.9236,0.60235,0.39941,0.43086,0.27039,1.08717,0.69951,0.975,0.000162649,0.000162649,0.000162649
80,78944.8,0.98979,0.59147,0.91989,0.67149,0.38988,0.43112,0.27011,1.08703,0.69443,0.97686,0.000155581,0.000155581,0.000155581
81,79913.6,0.9886,0.59113,0.92066,0.6045,0.3878,0.42849,0.27044,1.08693,0.69487,0.97572,0.000148512,0.000148512,0.000148512
82,80885.6,0.98617,0.58797,0.91938,0.62731,0.39477,0.42876,0.27006,1.08819,0.69616,0.97568,0.000141443,0.000141443,0.000141443
83,81855.8,0.98859,0.58901,0.92146,0.57034,0.39921,0.42262,0.26825,1.08516,0.68932,0.97578,0.000134375,0.000134375,0.000134375
84,82894.6,0.98815,0.59016,0.91658,0.54386,0.38973,0.41651,0.26425,1.0846,0.69207,0.97464,0.000127306,0.000127306,0.000127306
85,83961.5,0.981,0.58661,0.91764,0.53899,0.41657,0.42894,0.26955,1.08652,0.69233,0.97802,0.000120238,0.000120238,0.000120238
86,85037,0.98264,0.58259,0.91611,0.66056,0.36872,0.42344,0.26507,1.08735,0.69022,0.97687,0.000113169,0.000113169,0.000113169
87,86020.3,0.9819,0.58154,0.91679,0.61431,0.4077,0.43015,0.27038,1.0881,0.69258,0.97644,0.0001061,0.0001061,0.0001061
